id,text,intent
353,Sort by quantity in descending order,sort_descending
354,Get the total sum for salary,aggregate_sum
355,Show mean of gender,aggregate_average
356,Number of rows in the data,count_rows
357,List all headers,show_columns
358,List records with quantity less than 107,filter_condition
359,Order the results by age from smallest to largest,sort_ascending
360,Sort by price in descending order,sort_descending
361,Get the total sum for score,aggregate_sum
362,What is the average city?,aggregate_average
363,Count total entries,count_rows
364,What fields are present?,show_columns
365,List records with age less than 251,filter_condition
366,Arrange the table based on price lowest first,sort_ascending
367,Arrange country in reverse order,sort_descending
368,Sum up the values in salary,aggregate_sum
369,What is the average city?,aggregate_average
370,Count total entries,count_rows
371,List all headers,show_columns
372,Show all rows where name is greater than 996,filter_condition
373,Order the results by city from smallest to largest,sort_ascending
374,Arrange price in reverse order,sort_descending
375,Sum up the values in city,aggregate_sum
376,Calculate average of city,aggregate_average
377,How many records are there?,count_rows
378,What fields are present?,show_columns
379,Show all rows where city is greater than 972,filter_condition
380,Arrange the table based on age lowest first,sort_ascending
381,Arrange quantity in reverse order,sort_descending
382,Get the total sum for name,aggregate_sum
383,Show mean of country,aggregate_average
384,How many records are there?,count_rows
385,List all headers,show_columns
386,Display entries where price equals 121,filter_condition
387,Order the results by city from smallest to largest,sort_ascending
388,Sort by country in descending order,sort_descending
389,Get the total sum for country,aggregate_sum
390,Show mean of country,aggregate_average
391,Count total entries,count_rows
392,Which columns are in the dataset?,show_columns
393,Display entries where gender equals 647,filter_condition
394,Arrange the table based on price lowest first,sort_ascending
395,List by country from high to low,sort_descending
396,Sum up the values in name,aggregate_sum
397,What is the average gender?,aggregate_average
398,Count total entries,count_rows
399,Which columns are in the dataset?,show_columns
400,Display entries where quantity equals 599,filter_condition
401,Arrange the table based on salary lowest first,sort_ascending
402,Sort by gender in descending order,sort_descending
403,Sum up the values in age,aggregate_sum
404,Calculate average of gender,aggregate_average
405,Number of rows in the data,count_rows
406,List all headers,show_columns
407,Show all rows where price is greater than 653,filter_condition
408,Arrange the table based on gender lowest first,sort_ascending
409,Arrange gender in reverse order,sort_descending
410,Get the total sum for name,aggregate_sum
411,Calculate average of age,aggregate_average
412,How many records are there?,count_rows
413,Which columns are in the dataset?,show_columns
414,Display entries where country equals 95,filter_condition
415,Order the results by country from smallest to largest,sort_ascending
416,Arrange quantity in reverse order,sort_descending
417,Get the total sum for price,aggregate_sum
418,Show mean of salary,aggregate_average
419,How many records are there?,count_rows
420,Which columns are in the dataset?,show_columns
421,Show all rows where salary is greater than 984,filter_condition
422,Sort the data by gender in ascending order,sort_ascending
423,List by salary from high to low,sort_descending
424,What is the total of gender?,aggregate_sum
425,What is the average age?,aggregate_average
426,Number of rows in the data,count_rows
427,What fields are present?,show_columns
428,Display entries where age equals 224,filter_condition
429,Arrange the table based on salary lowest first,sort_ascending
430,List by city from high to low,sort_descending
431,What is the total of name?,aggregate_sum
432,Calculate average of price,aggregate_average
433,Count total entries,count_rows
434,Which columns are in the dataset?,show_columns
435,Display entries where country equals 252,filter_condition
436,Order the results by name from smallest to largest,sort_ascending
437,List by gender from high to low,sort_descending
438,Get the total sum for score,aggregate_sum
439,Calculate average of salary,aggregate_average
440,Count total entries,count_rows
441,Which columns are in the dataset?,show_columns
442,List records with gender less than 648,filter_condition
443,Order the results by quantity from smallest to largest,sort_ascending
444,Sort by name in descending order,sort_descending
445,Sum up the values in age,aggregate_sum
446,What is the average age?,aggregate_average
447,Count total entries,count_rows
448,List all headers,show_columns
449,List records with status less than 818,filter_condition
450,Sort the data by city in ascending order,sort_ascending
451,List by score from high to low,sort_descending
452,What is the total of age?,aggregate_sum
453,Show mean of salary,aggregate_average
454,Count total entries,count_rows
455,What fields are present?,show_columns
456,List records with salary less than 398,filter_condition
457,Sort the data by name in ascending order,sort_ascending
458,Sort by salary in descending order,sort_descending
459,What is the total of age?,aggregate_sum
460,What is the average quantity?,aggregate_average
461,Number of rows in the data,count_rows
462,List all headers,show_columns
463,Display entries where salary equals 136,filter_condition
464,Sort the data by country in ascending order,sort_ascending
465,Sort by price in descending order,sort_descending
466,Get the total sum for name,aggregate_sum
467,Calculate average of city,aggregate_average
468,How many records are there?,count_rows
469,What fields are present?,show_columns
470,List records with age less than 764,filter_condition
471,Arrange the table based on country lowest first,sort_ascending
472,List by name from high to low,sort_descending
473,Sum up the values in price,aggregate_sum
474,Show mean of price,aggregate_average
475,Count total entries,count_rows
476,List all headers,show_columns
477,Display entries where gender equals 59,filter_condition
478,Order the results by salary from smallest to largest,sort_ascending
479,Sort by city in descending order,sort_descending
480,Get the total sum for status,aggregate_sum
481,Show mean of city,aggregate_average
482,Count total entries,count_rows
483,Which columns are in the dataset?,show_columns
484,List records with age less than 671,filter_condition
485,Sort the data by score in ascending order,sort_ascending
486,List by salary from high to low,sort_descending
487,What is the total of salary?,aggregate_sum
488,Show mean of city,aggregate_average
489,How many records are there?,count_rows
490,Which columns are in the dataset?,show_columns
491,Display entries where price equals 583,filter_condition
492,Sort the data by score in ascending order,sort_ascending
493,Sort by gender in descending order,sort_descending
494,Get the total sum for score,aggregate_sum
495,Show mean of city,aggregate_average
496,How many records are there?,count_rows
497,Which columns are in the dataset?,show_columns
498,List records with price less than 796,filter_condition
499,Order the results by price from smallest to largest,sort_ascending
500,Arrange city in reverse order,sort_descending
501,What is the total of name?,aggregate_sum
502,Show mean of name,aggregate_average
503,Number of rows in the data,count_rows
504,Which columns are in the dataset?,show_columns
505,Display entries where city equals 634,filter_condition
506,Order the results by price from smallest to largest,sort_ascending
507,Arrange salary in reverse order,sort_descending
508,Get the total sum for country,aggregate_sum
509,What is the average gender?,aggregate_average
510,How many records are there?,count_rows
511,Which columns are in the dataset?,show_columns
512,Show all rows where name is greater than 293,filter_condition
513,Sort the data by country in ascending order,sort_ascending
514,List by city from high to low,sort_descending
515,What is the total of score?,aggregate_sum
516,Calculate average of salary,aggregate_average
517,Count total entries,count_rows
518,What fields are present?,show_columns
519,Display entries where city equals 690,filter_condition
520,Sort the data by salary in ascending order,sort_ascending
521,Arrange salary in reverse order,sort_descending
522,Get the total sum for gender,aggregate_sum
523,Calculate average of city,aggregate_average
524,Number of rows in the data,count_rows
525,What fields are present?,show_columns
526,Display entries where status equals 785,filter_condition
527,Sort the data by price in ascending order,sort_ascending
528,List by city from high to low,sort_descending
529,What is the total of gender?,aggregate_sum
530,Show mean of gender,aggregate_average
531,Count total entries,count_rows
532,What fields are present?,show_columns
533,Show all rows where name is greater than 565,filter_condition
534,Sort the data by age in ascending order,sort_ascending
535,Sort by age in descending order,sort_descending
536,What is the total of score?,aggregate_sum
537,Show mean of quantity,aggregate_average
538,How many records are there?,count_rows
539,List all headers,show_columns
540,Display entries where quantity equals 990,filter_condition
541,Sort the data by city in ascending order,sort_ascending
542,Sort by gender in descending order,sort_descending
543,Get the total sum for age,aggregate_sum
544,Show mean of status,aggregate_average
545,Number of rows in the data,count_rows
546,Which columns are in the dataset?,show_columns
547,List records with name less than 923,filter_condition
548,Arrange the table based on status lowest first,sort_ascending
549,Arrange country in reverse order,sort_descending
550,Sum up the values in status,aggregate_sum
551,Show mean of name,aggregate_average
552,Count total entries,count_rows
553,What fields are present?,show_columns
554,List records with name less than 896,filter_condition
555,Order the results by age from smallest to largest,sort_ascending
556,List by city from high to low,sort_descending
557,Get the total sum for score,aggregate_sum
558,What is the average salary?,aggregate_average
559,Number of rows in the data,count_rows
560,Which columns are in the dataset?,show_columns
561,List records with score less than 448,filter_condition
562,Sort the data by name in ascending order,sort_ascending
563,Arrange gender in reverse order,sort_descending
564,Sum up the values in gender,aggregate_sum
565,Show mean of country,aggregate_average
566,Count total entries,count_rows
567,Which columns are in the dataset?,show_columns
568,Show all rows where status is greater than 535,filter_condition
569,Sort the data by country in ascending order,sort_ascending
570,Arrange salary in reverse order,sort_descending
571,What is the total of name?,aggregate_sum
572,Show mean of city,aggregate_average
573,Number of rows in the data,count_rows
574,Which columns are in the dataset?,show_columns
575,List records with price less than 522,filter_condition
576,Sort the data by quantity in ascending order,sort_ascending
577,List by price from high to low,sort_descending
578,Get the total sum for price,aggregate_sum
579,Show mean of status,aggregate_average
580,Count total entries,count_rows
581,What fields are present?,show_columns
582,Display entries where gender equals 651,filter_condition
583,Arrange the table based on price lowest first,sort_ascending
584,List by score from high to low,sort_descending
585,What is the total of status?,aggregate_sum
586,Show mean of gender,aggregate_average
587,Count total entries,count_rows
588,List all headers,show_columns
589,Display entries where score equals 177,filter_condition
590,Arrange the table based on score lowest first,sort_ascending
591,Sort by salary in descending order,sort_descending
592,What is the total of status?,aggregate_sum
593,Show mean of quantity,aggregate_average
594,How many records are there?,count_rows
595,Which columns are in the dataset?,show_columns
596,Show all rows where status is greater than 43,filter_condition
597,Arrange the table based on price lowest first,sort_ascending
598,List by score from high to low,sort_descending
599,What is the total of price?,aggregate_sum
600,Calculate average of name,aggregate_average
601,Number of rows in the data,count_rows
602,List all headers,show_columns
603,List records with name less than 845,filter_condition
604,Order the results by salary from smallest to largest,sort_ascending
605,List by salary from high to low,sort_descending
606,Get the total sum for salary,aggregate_sum
607,What is the average status?,aggregate_average
608,Count total entries,count_rows
609,List all headers,show_columns
610,Show all rows where price is greater than 591,filter_condition
611,Order the results by country from smallest to largest,sort_ascending
612,List by score from high to low,sort_descending
613,What is the total of country?,aggregate_sum
614,Calculate average of city,aggregate_average
615,Count total entries,count_rows
616,Which columns are in the dataset?,show_columns
617,List records with status less than 852,filter_condition
618,Order the results by quantity from smallest to largest,sort_ascending
619,Sort by age in descending order,sort_descending
620,Get the total sum for price,aggregate_sum
621,Calculate average of name,aggregate_average
622,Count total entries,count_rows
623,What fields are present?,show_columns
624,List records with status less than 731,filter_condition
625,Arrange the table based on price lowest first,sort_ascending
626,Arrange price in reverse order,sort_descending
627,Sum up the values in price,aggregate_sum
628,Show mean of quantity,aggregate_average
629,Number of rows in the data,count_rows
630,What fields are present?,show_columns
631,Display entries where salary equals 672,filter_condition
632,Sort the data by gender in ascending order,sort_ascending
633,List by gender from high to low,sort_descending
634,What is the total of gender?,aggregate_sum
635,Show mean of age,aggregate_average
636,Count total entries,count_rows
637,Which columns are in the dataset?,show_columns
638,Display entries where gender equals 665,filter_condition
639,Arrange the table based on gender lowest first,sort_ascending
640,Arrange city in reverse order,sort_descending
641,Get the total sum for city,aggregate_sum
642,What is the average gender?,aggregate_average
643,Number of rows in the data,count_rows
644,List all headers,show_columns
645,List records with age less than 837,filter_condition
646,Sort the data by city in ascending order,sort_ascending
647,Sort by salary in descending order,sort_descending
648,What is the total of name?,aggregate_sum
649,Show mean of quantity,aggregate_average
650,How many records are there?,count_rows
651,List all headers,show_columns
652,Display entries where name equals 15,filter_condition
653,Arrange the table based on quantity lowest first,sort_ascending
654,List by quantity from high to low,sort_descending
655,Get the total sum for country,aggregate_sum
656,Calculate average of gender,aggregate_average
657,How many records are there?,count_rows
658,List all headers,show_columns
659,Display entries where status equals 572,filter_condition
660,Arrange the table based on price lowest first,sort_ascending
661,Arrange status in reverse order,sort_descending
662,Get the total sum for gender,aggregate_sum
663,Show mean of city,aggregate_average
664,How many records are there?,count_rows
665,List all headers,show_columns
666,Show all rows where status is greater than 496,filter_condition
667,Arrange the table based on name lowest first,sort_ascending
668,Sort by country in descending order,sort_descending
669,What is the total of city?,aggregate_sum
670,Calculate average of score,aggregate_average
671,Number of rows in the data,count_rows
672,Which columns are in the dataset?,show_columns
673,Show all rows where salary is greater than 67,filter_condition
674,Sort the data by score in ascending order,sort_ascending
675,Sort by city in descending order,sort_descending
676,What is the total of score?,aggregate_sum
677,What is the average age?,aggregate_average
678,Count total entries,count_rows
679,What fields are present?,show_columns
680,Display entries where age equals 891,filter_condition
681,Arrange the table based on gender lowest first,sort_ascending
682,Sort by quantity in descending order,sort_descending
683,Sum up the values in status,aggregate_sum
684,Show mean of price,aggregate_average
685,Count total entries,count_rows
686,List all headers,show_columns
687,Display entries where age equals 957,filter_condition
688,Arrange the table based on price lowest first,sort_ascending
689,Sort by city in descending order,sort_descending
690,Get the total sum for city,aggregate_sum
691,Calculate average of score,aggregate_average
692,Count total entries,count_rows
693,List all headers,show_columns
694,Display entries where quantity equals 381,filter_condition
695,Sort the data by score in ascending order,sort_ascending
696,Arrange status in reverse order,sort_descending
697,What is the total of country?,aggregate_sum
698,Calculate average of quantity,aggregate_average
699,Number of rows in the data,count_rows
700,What fields are present?,show_columns
701,Show all rows where gender is greater than 309,filter_condition
702,Order the results by quantity from smallest to largest,sort_ascending
703,Sort by city in descending order,sort_descending
704,Get the total sum for price,aggregate_sum
705,Show mean of age,aggregate_average
706,Count total entries,count_rows
707,List all headers,show_columns
708,Display entries where country equals 549,filter_condition
709,Sort the data by status in ascending order,sort_ascending
710,Sort by name in descending order,sort_descending
711,Sum up the values in gender,aggregate_sum
712,Show mean of salary,aggregate_average
713,Number of rows in the data,count_rows
714,List all headers,show_columns
715,Show all rows where age is greater than 269,filter_condition
716,Order the results by age from smallest to largest,sort_ascending
717,List by quantity from high to low,sort_descending
718,Sum up the values in score,aggregate_sum
719,Show mean of country,aggregate_average
720,Number of rows in the data,count_rows
721,What fields are present?,show_columns
722,List records with city less than 603,filter_condition
723,Order the results by name from smallest to largest,sort_ascending
724,List by score from high to low,sort_descending
725,Sum up the values in status,aggregate_sum
726,Calculate average of age,aggregate_average
727,Count total entries,count_rows
728,List all headers,show_columns
729,List records with status less than 250,filter_condition
730,Order the results by age from smallest to largest,sort_ascending
731,Sort by country in descending order,sort_descending
732,Sum up the values in age,aggregate_sum
733,What is the average price?,aggregate_average
734,Count total entries,count_rows
735,List all headers,show_columns
736,Show all rows where gender is greater than 136,filter_condition
737,Sort the data by name in ascending order,sort_ascending
738,Arrange status in reverse order,sort_descending
739,What is the total of name?,aggregate_sum
740,Calculate average of city,aggregate_average
741,Count total entries,count_rows
742,What fields are present?,show_columns
743,Show all rows where quantity is greater than 241,filter_condition
744,Sort the data by name in ascending order,sort_ascending
745,Sort by city in descending order,sort_descending
746,Get the total sum for quantity,aggregate_sum
747,Calculate average of score,aggregate_average
748,Count total entries,count_rows
749,List all headers,show_columns
750,List records with status less than 434,filter_condition
751,Arrange the table based on age lowest first,sort_ascending
752,Sort by city in descending order,sort_descending
753,What is the total of age?,aggregate_sum
754,Calculate average of status,aggregate_average
755,Count total entries,count_rows
756,Which columns are in the dataset?,show_columns
757,Display entries where country equals 302,filter_condition
758,Sort the data by country in ascending order,sort_ascending
759,Arrange quantity in reverse order,sort_descending
760,Sum up the values in gender,aggregate_sum
761,Calculate average of quantity,aggregate_average
762,Number of rows in the data,count_rows
763,List all headers,show_columns
764,Show all rows where status is greater than 122,filter_condition
765,Order the results by country from smallest to largest,sort_ascending
766,Arrange score in reverse order,sort_descending
767,What is the total of gender?,aggregate_sum
768,What is the average city?,aggregate_average
769,Number of rows in the data,count_rows
770,What fields are present?,show_columns
771,Show all rows where salary is greater than 713,filter_condition
772,Order the results by age from smallest to largest,sort_ascending
773,Sort by age in descending order,sort_descending
774,What is the total of quantity?,aggregate_sum
775,Calculate average of status,aggregate_average
776,Count total entries,count_rows
777,What fields are present?,show_columns
778,List records with age less than 439,filter_condition
779,Order the results by country from smallest to largest,sort_ascending
780,Sort by age in descending order,sort_descending
